date,opened_at,closed_at,ticker,strategy,direction,entry,tp_price,exit,qty,pnl,status,duration_min
2026-04-08,2026-04-08T08:43:00-05:00,2026-04-08T09:41:00-05:00,INTC,BreakoutLongState,long,56.0900,56.6509,57.1541,44,35.75,closed_with_tp,58.0
2026-04-08,2026-04-08T08:43:00-05:00,2026-04-08T09:56:00-05:00,BMNU,ORBState,short,2.0600,1.9158,1.9158,1210,174.48,closed_with_tp,73.0
2026-04-08,2026-04-08T08:44:00-05:00,2026-04-08T08:55:00-05:00,OMEX,ORBState,long,2.0800,,1.7400,588,-199.92,closed_no_tp,11.0
2026-04-08,2026-04-08T08:45:00-05:00,2026-04-08T15:00:00-05:00,VG,ORBState,long,13.7500,14.4350,14.4350,181,123.99,open_eod,375.0
2026-04-08,2026-04-08T08:47:00-05:00,2026-04-08T15:00:00-05:00,F,ORBState,long,12.1050,,12.2000,207,19.66,open_eod,373.0
2026-04-08,2026-04-08T08:52:00-05:00,2026-04-08T15:00:00-05:00,COMP,ORBState,long,7.5200,,7.4500,332,-23.24,open_eod,368.0
2026-04-08,2026-04-08T08:54:00-05:00,2026-04-08T10:03:00-05:00,TZA,ORBState,long,6.0100,6.1150,6.0850,417,37.52,closed_with_tp,69.0
2026-04-08,2026-04-08T09:00:00-05:00,2026-04-08T10:21:00-05:00,BMNG,ORBState,short,1.4100,1.3600,1.3700,1748,78.66,closed_with_tp,81.0
2026-04-08,2026-04-08T09:02:00-05:00,2026-04-08T15:00:00-05:00,PLTD,ORBState,long,7.4500,7.8200,7.7800,340,119.00,open_eod,358.0
2026-04-08,2026-04-08T09:39:00-05:00,2026-04-08T15:00:00-05:00,CCL,ORBState,short,28.2400,,28.0300,88,18.48,open_eod,321.0
2026-04-09,2026-04-09T08:43:00-05:00,2026-04-09T10:14:00-05:00,NIO,ORBState,short,6.5050,6.0496,6.0496,382,173.94,closed_with_tp,91.0
2026-04-09,2026-04-09T08:44:00-05:00,2026-04-09T09:46:00-05:00,EOSE,ORBState,long,5.2550,5.6229,5.6229,475,174.73,closed_with_tp,62.0
2026-04-09,2026-04-09T08:46:00-05:00,2026-04-09T11:26:00-05:00,AMZN,ORBState,long,225.6000,227.8900,231.5100,11,46.91,closed_with_tp,160.0
2026-04-09,2026-04-09T08:47:00-05:00,2026-04-09T15:00:00-05:00,PLTD,ORBState,long,8.2400,,8.3600,306,36.72,open_eod,373.0
2026-04-09,2026-04-09T09:01:00-05:00,2026-04-09T15:00:00-05:00,GGB,ORBState,long,4.0450,4.0854,4.1900,619,57.45,open_eod,359.0
2026-04-09,2026-04-09T09:23:00-05:00,2026-04-09T09:25:00-05:00,ONCO,ORBState,long,1.7700,1.8939,1.8939,909,112.63,closed_with_tp,2.0
2026-04-09,2026-04-09T09:37:00-05:00,2026-04-09T09:42:00-05:00,ONCO,BreakoutLongState,long,2.1000,2.2470,2.2470,999,146.85,closed_with_tp,5.0
2026-04-09,2026-04-09T10:29:00-05:00,2026-04-09T10:36:00-05:00,NIO,BreakoutShortState,short,6.0350,,6.0700,414,-14.49,closed_no_tp,7.0
2026-04-09,2026-04-09T11:01:00-05:00,2026-04-09T15:00:00-05:00,WULF,ORBState,long,19.1800,,19.0250,130,-20.15,open_eod,239.0
2026-04-10,2026-04-10T08:41:00-05:00,2026-04-10T09:00:00-05:00,NOW,BreakoutShortState,short,85.5200,84.6200,84.0800,29,34.20,closed_with_tp,19.0
2026-04-10,2026-04-10T08:43:00-05:00,2026-04-10T15:00:00-05:00,NIO,ORBState,long,6.3400,6.5800,6.4900,396,77.22,open_eod,377.0
2026-04-10,2026-04-10T08:46:00-05:00,2026-04-10T11:01:00-05:00,NVD,ORBState,short,6.6200,6.4900,6.4800,375,50.63,closed_with_tp,135.0
2026-04-10,2026-04-10T08:52:00-05:00,2026-04-10T15:00:00-05:00,SMCL,ORBState,long,2.0100,,2.0650,1262,69.41,open_eod,368.0
2026-04-10,2026-04-10T08:55:00-05:00,2026-04-10T09:31:00-05:00,CRWG,ORBState,long,3.7000,3.9590,3.9590,684,177.16,closed_with_tp,36.0
2026-04-10,2026-04-10T09:24:00-05:00,2026-04-10T10:08:00-05:00,IOVA,ORBState,short,3.6650,,3.9600,681,-200.89,closed_no_tp,44.0
2026-04-10,2026-04-10T09:38:00-05:00,2026-04-10T09:45:00-05:00,CRWG,BreakoutLongState,long,4.0800,4.1600,4.1000,618,30.90,closed_with_tp,7.0
2026-04-13,2026-04-13T08:39:00-05:00,2026-04-13T08:46:00-05:00,LEG,BreakoutLongState,long,11.1000,11.2110,11.1690,225,20.23,closed_with_tp,7.0
2026-04-13,2026-04-13T08:43:00-05:00,2026-04-13T09:46:00-05:00,NOK,ORBState,long,9.9000,10.1100,10.2300,252,68.04,closed_with_tp,63.0
2026-04-13,2026-04-13T08:44:00-05:00,2026-04-13T09:15:00-05:00,SNAP,ORBState,long,4.8500,4.9250,4.9400,517,42.66,closed_with_tp,31.0
2026-04-13,2026-04-13T08:47:00-05:00,2026-04-13T10:21:00-05:00,HPQ,ORBState,long,18.3700,18.5850,18.6750,136,35.36,closed_with_tp,94.0
2026-04-13,2026-04-13T09:44:00-05:00,2026-04-13T15:00:00-05:00,SMCL,ORBState,long,2.0500,2.1600,2.1800,1228,147.36,open_eod,316.0
2026-04-14,2026-04-14T08:40:00-05:00,2026-04-14T08:55:00-05:00,SMR,BreakoutLongState,long,11.1200,,10.7200,224,-89.60,closed_no_tp,15.0
2026-04-14,2026-04-14T08:44:00-05:00,2026-04-14T08:46:00-05:00,SNAL,ORBState,long,0.9532,1.0199,1.0199,998,66.59,closed_with_tp,2.0
2026-04-14,2026-04-14T08:44:00-05:00,2026-04-14T15:00:00-05:00,OWL,ORBState,long,8.9150,9.1800,9.1700,281,73.05,open_eod,376.0
2026-04-14,2026-04-14T08:45:00-05:00,2026-04-14T09:07:00-05:00,IONQ,BreakoutLongState,long,32.8900,33.5900,33.6000,76,53.58,closed_with_tp,22.0
2026-04-14,2026-04-14T08:52:00-05:00,2026-04-14T09:57:00-05:00,QBTS,ORBState,long,15.9000,17.0130,17.0130,158,175.85,closed_with_tp,65.0
2026-04-14,2026-04-14T08:52:00-05:00,2026-04-14T15:00:00-05:00,NVD,ORBState,short,6.1500,6.0100,5.9200,405,74.97,open_eod,368.0
2026-04-14,2026-04-14T08:53:00-05:00,2026-04-14T13:19:00-05:00,TSLG,ORBState,long,5.5800,5.6950,5.6650,448,44.80,closed_with_tp,266.0
2026-04-14,2026-04-14T08:55:00-05:00,2026-04-14T09:30:00-05:00,JBLU,ORBState,long,5.1000,5.1700,5.2600,491,56.51,closed_with_tp,35.0
