Date,Time,Symbol,Side,Quantity,Price,Commission
2023-06-08,11:26:00,BMEA,S,31,43.0456,0
2023-06-08,11:26:00,BMEA,S,31,43.0261,0
2023-06-08,10:48:00,PARR,S,108,23.6200,0
2023-06-08,12:30:00,PARR,B,108,24.0300,0
2023-06-08,10:04:00,GPRE,S,81,31.5200,0
2023-06-08,15:00:00,GPRE,B,81,31.7400,0
2023-06-08,10:13:00,IMAX,S,137,18.7500,0
2023-06-08,15:00:00,IMAX,B,137,18.5650,0
2023-06-08,14:58:00,NEXA,S,481,5.3100,0
2023-06-08,15:00:00,NEXA,B,481,5.3300,0
2023-06-08,14:59:00,IFRX,S,642,4.0000,0
2023-06-08,15:00:00,IFRX,B,642,4.0000,0
2023-06-09,09:19:00,MXL,B,87,29.4600,0
2023-06-09,09:35:00,MXL,S,87,29.3700,0
2023-06-09,09:58:00,BMEA,B,61,42.3700,0
2023-06-09,10:33:00,BMEA,S,61,41.7650,0
2023-06-09,10:06:00,CAR,S,13,195.1850,0
2023-06-09,15:00:00,CAR,B,13,193.5200,0
2023-06-09,13:50:00,IMAX,S,139,18.3900,0
2023-06-09,15:00:00,IMAX,B,139,18.4700,0
2023-06-09,13:56:00,EVTL,B,1354,1.9150,0
2023-06-09,15:00:00,EVTL,S,1354,1.9000,0
2023-06-09,14:56:00,NN,S,930,2.7200,0
2023-06-09,15:00:00,NN,B,930,2.7300,0
2023-06-12,08:57:00,BMEA,S,63,40.3000,0
2023-06-12,13:38:00,BMEA,B,63,41.6100,0
2023-06-12,08:50:00,MXL,B,84,30.3300,0
2023-06-12,15:00:00,MXL,S,84,30.2200,0
2023-06-12,09:08:00,CAR,B,12,199.0900,0
2023-06-12,15:00:00,CAR,S,12,200.9100,0
2023-06-12,09:19:00,PARR,B,106,24.1800,0
2023-06-12,15:00:00,PARR,S,106,23.6800,0
2023-06-12,10:08:00,SPIR,S,3754,0.6607,0
2023-06-12,15:00:00,SPIR,B,3754,0.6700,0
2023-06-12,10:21:00,BMI,B,16,153.3100,0
2023-06-12,15:00:00,BMI,S,16,153.7800,0
2023-06-12,10:23:00,EVTL,B,1364,1.9050,0
2023-06-12,15:00:00,EVTL,S,1364,1.9250,0
2023-06-12,11:48:00,RPAY,B,357,7.2100,0
2023-06-12,15:00:00,RPAY,S,357,7.3800,0
2023-06-12,14:30:00,VOR,S,506,4.9050,0
2023-06-12,15:00:00,VOR,B,506,4.9000,0
2023-06-12,14:34:00,ELDN,S,1424,1.7700,0
2023-06-12,15:00:00,ELDN,B,1424,1.7500,0
2023-06-12,14:37:00,IFRX,B,579,4.4250,0
2023-06-12,15:00:00,IFRX,S,579,4.4500,0
2023-06-12,14:54:00,NN,B,908,2.8450,0
