Date,Time,Symbol,Side,Quantity,Price,Commission
2026-01-12,09:19:00,EVTV,B,909,1.2700,0
2026-01-12,09:19:00,EVTV,S,454,1.3208,0
2026-01-12,09:19:00,EVTV,S,455,1.2986,0
2026-01-12,09:21:00,KWEB,B,67,37.1400,0
2026-01-12,15:00:00,KWEB,S,67,37.6300,0
2026-01-12,09:33:00,EVTV,B,1628,1.5350,0
2026-01-12,09:35:00,EVTV,S,814,1.5964,0
2026-01-12,09:35:00,EVTV,S,814,1.5584,0
2026-01-13,08:41:00,XAIR,B,634,1.7100,0
2026-01-13,08:53:00,XAIR,S,317,1.7784,0
2026-01-13,08:53:00,XAIR,S,317,1.8679,0
2026-01-13,09:01:00,INTC,B,53,46.6800,0
2026-01-13,15:00:00,INTC,S,53,47.2800,0
2026-01-13,11:20:00,ONDS,B,178,14.0000,0
2026-01-13,15:00:00,ONDS,S,178,13.9000,0
2026-01-14,08:42:00,INFY,B,135,18.4700,0
2026-01-14,08:55:00,INFY,S,67,19.2088,0
2026-01-14,08:55:00,INFY,S,68,19.1703,0
2026-01-14,08:42:00,SLV,S,30,82.3100,0
2026-01-14,09:42:00,SLV,B,30,83.2900,0
2026-01-14,08:43:00,ZSL,B,834,3.0100,0
2026-01-14,10:19:00,ZSL,S,834,2.9050,0
2026-01-14,08:44:00,UVIX,B,416,6.0550,0
2026-01-14,09:12:00,UVIX,S,416,5.9000,0
2026-01-14,08:47:00,ETHA,B,99,25.2300,0
2026-01-14,15:00:00,ETHA,S,99,25.5900,0
2026-01-14,08:58:00,FNGD,B,458,5.4800,0
2026-01-14,15:00:00,FNGD,S,458,5.5150,0
2026-01-14,09:05:00,INFY,B,129,19.3550,0
2026-01-14,09:16:00,INFY,S,129,18.9800,0
2026-01-14,09:12:00,BTCZ,S,736,3.3800,0
2026-01-14,15:00:00,BTCZ,B,736,3.3200,0
2026-01-14,10:18:00,SLV,B,29,83.3600,0
2026-01-14,10:35:00,SLV,S,29,82.9100,0
2026-01-14,13:58:00,ZSL,S,872,2.8650,0
2026-01-14,15:00:00,ZSL,B,872,2.8250,0
2026-01-15,08:41:00,AUID,S,606,1.7900,0
2026-01-15,09:19:00,AUID,B,606,2.1200,0
